"Tabela 3 - Média de anos de estudo das pessoas de 10 a 24 anos de idade,",,,,,,
"por Grandes Regiões e situação do domicílio, segundo os grupos de idade",,,,,,
Brasil e Grandes Regiões - 1997,,,,,,
,,,,,,
,Média de anos de estudo das pessoas de 10 a 24 anos de idade,,,,,
,Brasil (1),Norte (2),Nordeste,Sudeste,Sul,"Centro-
Oeste"
,,,,,,
Total,,,,,,
10 anos,"3,0","2,7","2,3","3,4","3,5","3,3"
11 anos,"3,6","3,3","2,8","4,2","4,3","3,9"
12 anos,"4,4","4,0","3,4","4,9","5,1","4,6"
13 anos,"5,0","4,6","3,9","5,7","5,7","5,2"
14 anos,"5,6","5,0","4,4","6,4","6,6","5,9"
15 anos,"6,2","5,7","4,9","7,0","7,1","6,5"
16 anos,"6,7","6,3","5,3","7,5","7,7","7,0"
17 anos,"7,1","7,0","5,7","8,0","8,0","7,2"
18 anos,"7,4","7,3","5,9","8,3","8,2","7,9"
19 anos,"7,8","7,5","6,2","8,7","8,5","8,0"
20 a 24 anos,"7,9","8,0","6,5","8,7","8,4","8,0"
Urbana,,,,,,
10 anos,"3,2","2,7","2,6","3,4","3,6","3,4"
11 anos,"3,9","3,3","3,2","4,2","4,3","4,1"
12 anos,"4,7","4,0","3,8","5,0","5,2","4,8"
13 anos,"5,3","4,6","4,4","5,8","5,8","5,4"
14 anos,"6,0","5,0","5,0","6,5","6,7","6,1"
15 anos,"6,6","5,7","5,5","7,1","7,2","6,7"
16 anos,"7,1","6,3","6,0","7,7","7,9","7,2"
17 anos,"7,6","7,0","6,5","8,2","8,2","7,5"
18 anos,"8,0","7,3","6,8","8,6","8,4","8,2"
19 anos,"8,3","7,5","7,0","8,9","8,9","8,2"
20 a 24 anos,"8,5","8,0","7,4","9,0","8,8","8,4"
Rural,,,,,,
10 anos,"2,3",-,"1,8","3,0","3,5","2,7"
11 anos,"2,9",-,"2,2","3,7","4,2","3,2"
12 anos,"3,4",-,"2,7","4,4","4,9","3,7"
13 anos,"3,9",-,"3,0","4,9","5,5","4,4"
14 anos,"4,4",-,"3,6","5,4","6,2","5,0"
15 anos,"4,9",-,"3,9","5,9","6,7","5,3"
16 anos,"5,2",-,"4,2","6,3","6,9","5,8"
17 anos,"5,2",-,"4,2","6,1","7,0","5,9"
18 anos,"5,4",-,"4,4","6,3","7,5","6,1"
19 anos,"5,5",-,"4,5","6,7","7,1","6,3"
20 a 24 anos,"5,3",-,"4,5","6,0","6,8","5,8"
,,,,,,
"Fonte: Pesquisa nacional por amostra de domicílios 1997 [CD-ROM]. Microdados.  Rio de Janeiro: IBGE, 1998.",,,,,,
"(1) Exclusive a população rural de Rondônia, Acre, Amazonas, Roraima, Pará e Amapá.  (2) Exclusive a popu-",,,,,,
lação rural.,,,,,,
