"Tabela 6 - Percentual de defasagem idade/série dos estudantes de 7 a 14 anos de idade,",,,,,,,,
"por grupos de idade, segundo as Grandes Regiões",,,,,,,,
Brasil e Grandes Regiões- 1997,,,,,,,,
,,,,,,,,
,"Percentual de defasagem idade/série dos estudantes de 7 a 14 anos de idade
(%)",,,,,,,
,7 anos,8 anos,9 anos,10 anos,11 anos,12 anos,13 anos,14 anos
,,,,,,,,
          Brasil (1),"22,8","39,9","49,6","57,8","62,8","67,6","72,3","76,6"
Norte (2),"27,7","49,5","64,3","71,3","73,8","78,2","83,9","89,4"
Nordeste,"37,1","63,1","72,4","78,6","82,0","85,8","87,5","89,8"
Sudeste,"20,5","28,6","37,4","46,6","52,7","57,6","63,4","68,0"
Sul,"4,4","21,9","30,2","39,2","44,6","51,9","58,8","66,1"
Centro-Oeste,"13,7","30,7","44,1","51,1","59,1","65,5","71,1","77,3"
,,,,,,,,
"Fonte: Pesquisa nacional por amostra de domicílios 1997 [CD-ROM]. Microdados.  Rio de Janeiro: IBGE, 1998.",,,,,,,,
"(1) Exclusive a população rural de Rondônia, Acre, Amazonas, Roraima, Pará e Amapá.  (2) Exclusive a popu-",,,,,,,,
lação rural.,,,,,,,,
